NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELL REDOX HOMEOSTASIS	CELL REDOX HOMEOSTASIS	Details ...	20	0.68022156	1.8831172	0.0	0.32486293	0.211	338	tags=35%, list=8%, signal=38%	
PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY	PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY	Details ...	13	0.67470753	1.8801513	0.0	0.17290565	0.226	20	tags=31%, list=0%, signal=31%	
IRON-SULFUR CLUSTER ASSEMBLY	IRON-SULFUR CLUSTER ASSEMBLY	Details ...	19	0.88326347	1.8092351	0.0	0.2640457	0.387	309	tags=84%, list=7%, signal=91%	
PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER	PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER	Details ...	6	0.96696407	1.7117767	0.0	0.59882927	0.676	142	tags=100%, list=3%, signal=103%	
PROTEIN STABILIZATION	PROTEIN STABILIZATION	Details ...	7	0.71320766	1.7035401	0.0	0.5155266	0.676	27	tags=29%, list=1%, signal=29%	
INTRINSIC COMPONENT OF PLASMA MEMBRANE	INTRINSIC COMPONENT OF PLASMA MEMBRANE	Details ...	13	0.5128042	1.7025555	0.022222223	0.43553996	0.676	511	tags=38%, list=12%, signal=44%	
L-VALINE TRANSMEMBRANE TRANSPORT	L-VALINE TRANSMEMBRANE TRANSPORT	Details ...	8	0.6992043	1.6698711	0.0	0.5245535	0.752	389	tags=63%, list=9%, signal=69%	
CARBOHYDRATE:PROTON SYMPORTER ACTIVITY	CARBOHYDRATE:PROTON SYMPORTER ACTIVITY	Details ...	14	0.626128	1.6597537	0.0	0.5222137	0.775	452	tags=50%, list=11%, signal=56%	
EFFLUX TRANSMEMBRANE TRANSPORTER ACTIVITY	EFFLUX TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	17	0.49293	1.6590914	0.0	0.47027335	0.775	635	tags=41%, list=15%, signal=48%	
SULFUR CARRIER ACTIVITY	SULFUR CARRIER ACTIVITY	Details ...	7	0.65330756	1.6274222	0.042959426	0.581334	0.851	85	tags=29%, list=2%, signal=29%	
FMN BINDING	FMN BINDING	Details ...	33	0.41093758	1.6043855	0.0	0.6299102	0.872	1019	tags=42%, list=25%, signal=56%	
DEOXYRIBONUCLEOTIDE BIOSYNTHETIC PROCESS	DEOXYRIBONUCLEOTIDE BIOSYNTHETIC PROCESS	Details ...	6	0.888301	1.5805724	0.0	0.6905695	0.912	251	tags=83%, list=6%, signal=89%	
SIDEROPHORE TRANSMEMBRANE TRANSPORT	SIDEROPHORE TRANSMEMBRANE TRANSPORT	Details ...	9	0.74034154	1.5657799	0.046554934	0.72782445	0.952	864	tags=78%, list=21%, signal=98%	
2 IRON, 2 SULFUR CLUSTER BINDING	2 IRON, 2 SULFUR CLUSTER BINDING	Details ...	33	0.5439359	1.5640597	0.04157549	0.6868797	0.952	680	tags=61%, list=16%, signal=72%	
PROTON TRANSMEMBRANE TRANSPORT	PROTON TRANSMEMBRANE TRANSPORT	Details ...	45	0.41306546	1.5561053	0.0	0.68350226	0.952	452	tags=29%, list=11%, signal=32%	
LACTOSE TRANSPORT	LACTOSE TRANSPORT	Details ...	5	0.7706675	1.5492172	0.0	0.6878226	0.952	452	tags=40%, list=11%, signal=45%	
LEUCINE BIOSYNTHETIC PROCESS	LEUCINE BIOSYNTHETIC PROCESS	Details ...	7	0.87198585	1.5332515	0.0	0.73435324	0.952	451	tags=86%, list=11%, signal=96%	
EFFLUX PUMP COMPLEX	EFFLUX PUMP COMPLEX	Details ...	5	0.77513665	1.5252509	0.09856263	0.7495308	0.952	893	tags=80%, list=22%, signal=102%	
MICROCIN TRANSPORT	MICROCIN TRANSPORT	Details ...	7	0.42996806	1.5184022	0.03133159	0.75719887	0.965	441	tags=29%, list=11%, signal=32%	
DIOXYGENASE ACTIVITY	DIOXYGENASE ACTIVITY	Details ...	9	0.71799374	1.5175482	0.0	0.7231626	0.965	707	tags=78%, list=17%, signal=94%	
L-VALINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-VALINE TRANSMEMBRANE TRANSPORTER ACTIVITY		7	0.6601467	1.5168691	0.0	0.69525397	0.965	389	tags=57%, list=9%, signal=63%	
THREONINE BIOSYNTHETIC PROCESS	THREONINE BIOSYNTHETIC PROCESS		6	0.8244659	1.5100721	0.0	0.7052128	0.965	603	tags=67%, list=15%, signal=78%	
ISOLEUCINE TRANSMEMBRANE TRANSPORT	ISOLEUCINE TRANSMEMBRANE TRANSPORT		5	0.9071841	1.5048466	0.0	0.7074088	0.965	389	tags=100%, list=9%, signal=110%	
IRON ION BINDING	IRON ION BINDING		57	0.40609565	1.4956726	0.063535914	0.7241423	0.984	672	tags=42%, list=16%, signal=50%	
FERROUS IRON BINDING	FERROUS IRON BINDING		23	0.45577797	1.49552	0.097222224	0.69577664	0.984	348	tags=30%, list=8%, signal=33%	
SOS RESPONSE	SOS RESPONSE		29	0.7246959	1.4894834	0.0	0.70241374	0.984	429	tags=69%, list=10%, signal=76%	
ATPASE-COUPLED TRANSMEMBRANE TRANSPORTER ACTIVITY	ATPASE-COUPLED TRANSMEMBRANE TRANSPORTER ACTIVITY		19	0.45845994	1.4834569	0.05399061	0.7083134	1.0	533	tags=26%, list=13%, signal=30%	
BACTERIAL-TYPE RNA POLYMERASE CORE PROMOTER SEQUENCE-SPECIFIC DNA BINDING	BACTERIAL-TYPE RNA POLYMERASE CORE PROMOTER SEQUENCE-SPECIFIC DNA BINDING		5	0.76288575	1.4814236	0.019455252	0.69340366	1.0	168	tags=60%, list=4%, signal=62%	
SLIME LAYER POLYSACCHARIDE BIOSYNTHETIC PROCESS	SLIME LAYER POLYSACCHARIDE BIOSYNTHETIC PROCESS		8	0.73822767	1.4748042	0.0	0.7025232	1.0	1081	tags=88%, list=26%, signal=118%	
RESPONSE TO TOXIC SUBSTANCE	RESPONSE TO TOXIC SUBSTANCE		19	0.6304942	1.4726644	0.074270554	0.69238186	1.0	401	tags=37%, list=10%, signal=41%	
ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX, SUBSTRATE-BINDING SUBUNIT-CONTAINING	ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX, SUBSTRATE-BINDING SUBUNIT-CONTAINING		32	0.46531305	1.4578974	0.0	0.7362987	1.0	522	tags=38%, list=13%, signal=43%	
CARBON PHOSPHORUS LYASE COMPLEX	CARBON PHOSPHORUS LYASE COMPLEX		5	0.7827869	1.4578649	0.060538117	0.7137578	1.0	905	tags=100%, list=22%, signal=128%	
ORGANIC PHOSPHONATE CATABOLIC PROCESS	ORGANIC PHOSPHONATE CATABOLIC PROCESS		8	0.7646438	1.4481944	0.034782607	0.74235576	1.0	905	tags=88%, list=22%, signal=112%	
METALLOEXOPEPTIDASE ACTIVITY	METALLOEXOPEPTIDASE ACTIVITY		5	0.760795	1.4424499	0.072463766	0.7544835	1.0	337	tags=40%, list=8%, signal=43%	
PROPIONATE CATABOLIC PROCESS, 2-METHYLCITRATE CYCLE	PROPIONATE CATABOLIC PROCESS, 2-METHYLCITRATE CYCLE		5	0.78471553	1.4408828	0.052154195	0.74213314	1.0	897	tags=100%, list=22%, signal=127%	
PUTRESCINE CATABOLIC PROCESS	PUTRESCINE CATABOLIC PROCESS		10	0.60538286	1.4397467	0.021052632	0.72709745	1.0	632	tags=50%, list=15%, signal=59%	
SYMPORTER ACTIVITY	SYMPORTER ACTIVITY		42	0.515004	1.4255326	0.02690583	0.7758583	1.0	538	tags=40%, list=13%, signal=46%	
TRANSMEMBRANE TRANSPORTER ACTIVITY	TRANSMEMBRANE TRANSPORTER ACTIVITY		159	0.38426703	1.4123986	0.0	0.8199626	1.0	991	tags=43%, list=24%, signal=54%	
L-ISOLEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-ISOLEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.8561968	1.4099411	0.0	0.8082396	1.0	389	tags=80%, list=9%, signal=88%	
BRANCHED-CHAIN AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	BRANCHED-CHAIN AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.8561968	1.4099411	0.0	0.7880336	1.0	389	tags=80%, list=9%, signal=88%	
TRANSMEMBRANE TRANSPORT	TRANSMEMBRANE TRANSPORT		340	0.33354157	1.4070117	0.0	0.7856264	1.0	698	tags=29%, list=17%, signal=32%	
ENTEROBACTIN TRANSPORT	ENTEROBACTIN TRANSPORT		5	0.7926712	1.3969111	0.021696253	0.8196863	1.0	864	tags=100%, list=21%, signal=126%	
BRANCHED-CHAIN AMINO ACID TRANSPORT	BRANCHED-CHAIN AMINO ACID TRANSPORT		6	0.75224686	1.3895465	0.08067941	0.8388221	1.0	389	tags=67%, list=9%, signal=73%	
PROTEIN FOLDING CHAPERONE	PROTEIN FOLDING CHAPERONE		7	0.67313015	1.3885331	0.05376344	0.82239014	1.0	443	tags=43%, list=11%, signal=48%	
MEMBRANE ORGANIZATION	MEMBRANE ORGANIZATION		5	0.84021074	1.3868456	0.05643341	0.81317216	1.0	524	tags=80%, list=13%, signal=91%	
DNA REPAIR	DNA REPAIR		75	0.423587	1.3829434	0.06921241	0.8157481	1.0	540	tags=28%, list=13%, signal=32%	
BRANCHED-CHAIN AMINO ACID BIOSYNTHETIC PROCESS	BRANCHED-CHAIN AMINO ACID BIOSYNTHETIC PROCESS		18	0.6999184	1.3770262	0.06950673	0.8284458	1.0	826	tags=67%, list=20%, signal=83%	
RESPONSE TO IONIZING RADIATION	RESPONSE TO IONIZING RADIATION		10	0.54527783	1.3743039	0.06880734	0.82693183	1.0	610	tags=30%, list=15%, signal=35%	
COLANIC ACID METABOLIC PROCESS	COLANIC ACID METABOLIC PROCESS		7	0.7027977	1.3721838	0.022813689	0.82215184	1.0	1081	tags=86%, list=26%, signal=116%	
