NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SODIUM:PROTON ANTIPORTER ACTIVITY	SODIUM:PROTON ANTIPORTER ACTIVITY	Details ...	6	-0.8686	-1.8766662	0.0020920502	0.34508392	0.243	178	tags=50%, list=4%, signal=52%	
RESPONSE TO ACIDIC PH	RESPONSE TO ACIDIC PH	Details ...	12	-0.5962142	-1.855301	0.0	0.22723712	0.298	189	tags=17%, list=5%, signal=17%	
POTASSIUM:PROTON ANTIPORTER ACTIVITY	POTASSIUM:PROTON ANTIPORTER ACTIVITY	Details ...	5	-0.8402422	-1.8099598	0.00407332	0.2561439	0.424	178	tags=40%, list=4%, signal=42%	
AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	15	-0.59460455	-1.7950941	0.008403362	0.22620183	0.463	335	tags=33%, list=8%, signal=36%	
NADH DEHYDROGENASE ACTIVITY	NADH DEHYDROGENASE ACTIVITY	Details ...	9	-0.7067831	-1.7832137	0.0019607844	0.20751743	0.493	379	tags=44%, list=9%, signal=49%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	33	-0.8193783	-1.7533935	0.01778656	0.23831634	0.594	526	tags=64%, list=13%, signal=72%	
HEME BINDING	HEME BINDING	Details ...	36	-0.49052143	-1.7497914	0.0	0.21289308	0.604	734	tags=47%, list=18%, signal=57%	
DEFENSE RESPONSE TO VIRUS	DEFENSE RESPONSE TO VIRUS	Details ...	8	-0.8184408	-1.7441082	0.024896266	0.1989529	0.631	537	tags=75%, list=13%, signal=86%	
REGULATION OF CELL DIVISION	REGULATION OF CELL DIVISION	Details ...	7	-0.74063087	-1.7273	0.02661597	0.20905963	0.678	125	tags=43%, list=3%, signal=44%	
ANAEROBIC RESPIRATION	ANAEROBIC RESPIRATION	Details ...	56	-0.60058606	-1.7187157	0.03305785	0.20464954	0.694	734	tags=57%, list=18%, signal=68%	
PILUS ASSEMBLY	PILUS ASSEMBLY	Details ...	13	-0.613048	-1.7097074	0.010752688	0.20354618	0.724	568	tags=38%, list=14%, signal=44%	
FIMBRIAL USHER PORIN ACTIVITY	FIMBRIAL USHER PORIN ACTIVITY	Details ...	10	-0.7341226	-1.7088809	0.016701462	0.18778521	0.726	568	tags=50%, list=14%, signal=58%	
CELLULAR RESPIRATION	CELLULAR RESPIRATION	Details ...	11	-0.75620013	-1.7054851	0.010183299	0.17934999	0.734	642	tags=64%, list=15%, signal=75%	
BACTERIAL-TYPE FLAGELLUM ASSEMBLY	BACTERIAL-TYPE FLAGELLUM ASSEMBLY	Details ...	17	-0.80559754	-1.7021208	0.017441861	0.17260484	0.745	526	tags=59%, list=13%, signal=67%	
MOLYBDOPTERIN COFACTOR BINDING	MOLYBDOPTERIN COFACTOR BINDING	Details ...	16	-0.6748612	-1.6716175	0.030241935	0.21409342	0.81	824	tags=69%, list=20%, signal=85%	
RESPONSE TO HYDROGEN PEROXIDE	RESPONSE TO HYDROGEN PEROXIDE	Details ...	6	-0.6090625	-1.6634922	0.0022522523	0.21799321	0.831	181	tags=33%, list=4%, signal=35%	
ANAEROBIC ELECTRON TRANSPORT CHAIN	ANAEROBIC ELECTRON TRANSPORT CHAIN	Details ...	14	-0.75885546	-1.6616485	0.028629856	0.20842974	0.838	734	tags=71%, list=18%, signal=86%	
CELL ADHESION	CELL ADHESION	Details ...	37	-0.49371037	-1.65616	0.026666667	0.20749855	0.852	1018	tags=54%, list=25%, signal=71%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	Details ...	13	-0.75339675	-1.6515757	0.04761905	0.20498188	0.858	513	tags=69%, list=12%, signal=79%	
PILUS ORGANIZATION	PILUS ORGANIZATION	Details ...	33	-0.5111599	-1.6297437	0.053418804	0.23951226	0.891	950	tags=52%, list=23%, signal=66%	
BACTERIAL-TYPE FLAGELLUM ORGANIZATION	BACTERIAL-TYPE FLAGELLUM ORGANIZATION		18	-0.8272723	-1.603839	0.033864543	0.28882128	0.931	526	tags=72%, list=13%, signal=82%	
BACTERIAL-TYPE FLAGELLUM	BACTERIAL-TYPE FLAGELLUM		24	-0.8380079	-1.5929188	0.04742268	0.3034293	0.946	355	tags=79%, list=9%, signal=86%	
FORMATE DEHYDROGENASE (NAD+) ACTIVITY	FORMATE DEHYDROGENASE (NAD+) ACTIVITY		6	-0.75615287	-1.5761946	0.014644352	0.3349171	0.968	642	tags=67%, list=15%, signal=79%	
FORMATE OXIDATION	FORMATE OXIDATION		8	-0.7963147	-1.5625508	0.017857144	0.35718912	0.976	642	tags=75%, list=15%, signal=89%	
SODIUM ION TRANSMEMBRANE TRANSPORT	SODIUM ION TRANSMEMBRANE TRANSPORT		6	-0.7216346	-1.5450199	0.059322033	0.3949913	0.985	178	tags=50%, list=4%, signal=52%	
RIBONUCLEASE ACTIVITY	RIBONUCLEASE ACTIVITY		6	-0.72544974	-1.542325	0.03307393	0.38892886	0.985	481	tags=50%, list=12%, signal=56%	
CELL OUTER MEMBRANE	CELL OUTER MEMBRANE		111	-0.31898928	-1.5307817	0.012468828	0.41047767	0.99	656	tags=29%, list=16%, signal=33%	
NITRATE REDUCTASE ACTIVITY	NITRATE REDUCTASE ACTIVITY		7	-0.82489145	-1.5083241	0.050403226	0.47446603	0.994	734	tags=100%, list=18%, signal=121%	
4 IRON, 4 SULFUR CLUSTER BINDING	4 IRON, 4 SULFUR CLUSTER BINDING		112	-0.3679979	-1.5071633	0.06382979	0.46163356	0.994	686	tags=35%, list=17%, signal=41%	
MOLYBDENUM ION BINDING	MOLYBDENUM ION BINDING		16	-0.5245217	-1.4984822	0.1064257	0.47654632	0.996	634	tags=44%, list=15%, signal=51%	
IRON-SULFUR CLUSTER BINDING	IRON-SULFUR CLUSTER BINDING		141	-0.33858198	-1.4980764	0.040963855	0.46307793	0.996	700	tags=33%, list=17%, signal=39%	
NITRATE ASSIMILATION	NITRATE ASSIMILATION		20	-0.7227918	-1.4919332	0.12298387	0.4691309	0.997	982	tags=85%, list=24%, signal=111%	
PHOSPHORELAY SIGNAL TRANSDUCTION SYSTEM	PHOSPHORELAY SIGNAL TRANSDUCTION SYSTEM		65	-0.31829074	-1.4883901	0.01978022	0.4676186	0.997	497	tags=26%, list=12%, signal=29%	
BACTERIAL-TYPE FLAGELLUM BASAL BODY	BACTERIAL-TYPE FLAGELLUM BASAL BODY		18	-0.8807451	-1.4840698	0.04233871	0.4698822	0.997	479	tags=94%, list=12%, signal=106%	
CARBOHYDRATE KINASE ACTIVITY	CARBOHYDRATE KINASE ACTIVITY		7	-0.6420154	-1.4827441	0.056640625	0.46079957	0.997	635	tags=71%, list=15%, signal=84%	
FORMATE DEHYDROGENASE COMPLEX	FORMATE DEHYDROGENASE COMPLEX		7	-0.7896078	-1.4641372	0.066390045	0.5129185	0.999	642	tags=71%, list=15%, signal=84%	
FORMATE DEHYDROGENASE (QUINONE) ACTIVITY	FORMATE DEHYDROGENASE (QUINONE) ACTIVITY		7	-0.7896078	-1.4641372	0.066390045	0.49905583	0.999	642	tags=71%, list=15%, signal=84%	
