NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NUCLEOID	NUCLEOID	Details ...	16	-0.7476822	-1.7596934	0.0	1.0	0.437	290	tags=38%, list=7%, signal=40%	
D-GLUCONATE METABOLIC PROCESS	D-GLUCONATE METABOLIC PROCESS	Details ...	10	-0.7542958	-1.6161157	0.0	1.0	0.851	669	tags=60%, list=16%, signal=71%	
PROTEIN REFOLDING	PROTEIN REFOLDING	Details ...	12	-0.6783428	-1.6073226	0.04847397	1.0	0.869	495	tags=58%, list=12%, signal=66%	
DNA-BINDING TRANSCRIPTION REPRESSOR ACTIVITY	DNA-BINDING TRANSCRIPTION REPRESSOR ACTIVITY	Details ...	28	-0.41681466	-1.6022542	0.017944535	1.0	0.885	458	tags=32%, list=11%, signal=36%	
PROTEIN FOLDING	PROTEIN FOLDING	Details ...	29	-0.5343821	-1.5353317	0.054577466	1.0	0.995	507	tags=45%, list=12%, signal=51%	
NADH DEHYDROGENASE ACTIVITY	NADH DEHYDROGENASE ACTIVITY	Details ...	9	-0.6472151	-1.53505	0.024048096	1.0	0.995	17	tags=22%, list=0%, signal=22%	
PROTEIN-DNA COMPLEX	PROTEIN-DNA COMPLEX	Details ...	47	-0.40063727	-1.5350392	0.0	1.0	0.995	458	tags=30%, list=11%, signal=33%	
NUCLEOSIDE TRANSPORT	NUCLEOSIDE TRANSPORT	Details ...	5	-0.81930655	-1.5182005	0.04909091	1.0	1.0	268	tags=60%, list=6%, signal=64%	
CELL DEATH	CELL DEATH	Details ...	5	-0.7002598	-1.5165747	0.0	1.0	1.0	110	tags=40%, list=3%, signal=41%	
DNA-BINDING TRANSCRIPTION ACTIVATOR ACTIVITY	DNA-BINDING TRANSCRIPTION ACTIVATOR ACTIVITY	Details ...	34	-0.4914584	-1.5009255	0.0	1.0	1.0	987	tags=47%, list=24%, signal=61%	
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING	CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING	Details ...	8	-0.6972873	-1.4886603	0.10583942	1.0	1.0	353	tags=63%, list=8%, signal=68%	
LYSINE BIOSYNTHETIC PROCESS VIA DIAMINOPIMELATE	LYSINE BIOSYNTHETIC PROCESS VIA DIAMINOPIMELATE	Details ...	12	-0.6827831	-1.485875	0.0	1.0	1.0	700	tags=58%, list=17%, signal=70%	
AROMATIC AMINO ACID FAMILY BIOSYNTHETIC PROCESS	AROMATIC AMINO ACID FAMILY BIOSYNTHETIC PROCESS	Details ...	19	-0.587166	-1.4811424	0.0	1.0	1.0	812	tags=47%, list=20%, signal=59%	
