NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
OUTER MEMBRANE	OUTER MEMBRANE	Details ...	28	0.5538166	2.3344948	0.0	0.0	0.0	58	tags=11%, list=1%, signal=11%	
PERIPLASMIC SIDE OF CELL OUTER MEMBRANE	PERIPLASMIC SIDE OF CELL OUTER MEMBRANE	Details ...	5	0.84461874	1.7917144	0.0	0.29082862	0.352	9	tags=20%, list=0%, signal=20%	
OUTER MEMBRANE-BOUNDED PERIPLASMIC SPACE	OUTER MEMBRANE-BOUNDED PERIPLASMIC SPACE	Details ...	173	0.4605709	1.7806789	0.0	0.23373592	0.403	646	tags=28%, list=16%, signal=32%	
PEROXIREDOXIN ACTIVITY	PEROXIREDOXIN ACTIVITY	Details ...	6	0.82004297	1.7456487	0.0	0.28721738	0.517	53	tags=17%, list=1%, signal=17%	
CELLULAR RESPONSE TO HEAT	CELLULAR RESPONSE TO HEAT	Details ...	7	0.8445792	1.7134258	0.006	0.33626258	0.621	36	tags=29%, list=1%, signal=29%	
ORGANIC PHOSPHONATE CATABOLIC PROCESS	ORGANIC PHOSPHONATE CATABOLIC PROCESS	Details ...	8	0.6659597	1.7006266	0.0	0.33117217	0.671	498	tags=25%, list=12%, signal=28%	
NEGATIVE REGULATION OF CATALYTIC ACTIVITY	NEGATIVE REGULATION OF CATALYTIC ACTIVITY	Details ...	16	0.61737615	1.6989832	0.004016064	0.28958914	0.684	10	tags=13%, list=0%, signal=12%	
CELLULAR RESPONSE TO OXIDATIVE STRESS	CELLULAR RESPONSE TO OXIDATIVE STRESS	Details ...	12	0.7728318	1.6947888	0.0	0.26858655	0.697	604	tags=50%, list=15%, signal=58%	
PEPTIDASE ACTIVITY	PEPTIDASE ACTIVITY	Details ...	83	0.414641	1.6778306	0.0057803467	0.29008177	0.736	838	tags=31%, list=20%, signal=38%	
PROTEOLYSIS	PROTEOLYSIS	Details ...	112	0.40252495	1.6769342	0.0	0.26337862	0.738	838	tags=32%, list=20%, signal=39%	
METALLOENDOPEPTIDASE ACTIVITY	METALLOENDOPEPTIDASE ACTIVITY	Details ...	18	0.6294549	1.6744845	0.015841585	0.24755143	0.747	394	tags=28%, list=9%, signal=31%	
DEPHOSPHORYLATION	DEPHOSPHORYLATION	Details ...	43	0.4561065	1.6716043	0.006012024	0.23523965	0.755	706	tags=26%, list=17%, signal=31%	
POTASSIUM ION TRANSPORT	POTASSIUM ION TRANSPORT	Details ...	21	0.561834	1.669529	0.02584493	0.22052343	0.76	316	tags=33%, list=8%, signal=36%	
EFFLUX TRANSMEMBRANE TRANSPORTER ACTIVITY	EFFLUX TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	17	0.59794766	1.6690409	0.013888889	0.20619531	0.763	646	tags=41%, list=16%, signal=49%	
