NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HYDROLASE ACTIVITY, ACTING ON CARBON-NITROGEN (BUT NOT PEPTIDE) BONDS	HYDROLASE ACTIVITY, ACTING ON CARBON-NITROGEN (BUT NOT PEPTIDE) BONDS	Details ...	14	0.6195856	1.7421238	0.0	1.0	0.591	264	tags=36%, list=6%, signal=38%	
L-VALINE TRANSMEMBRANE TRANSPORT	L-VALINE TRANSMEMBRANE TRANSPORT	Details ...	8	0.71124476	1.551709	0.028806584	1.0	0.965	483	tags=50%, list=12%, signal=56%	
INTEGRAL COMPONENT OF CELL OUTER MEMBRANE	INTEGRAL COMPONENT OF CELL OUTER MEMBRANE	Details ...	14	0.49461684	1.514822	0.02330097	1.0	0.986	225	tags=36%, list=5%, signal=38%	
RNA HELICASE ACTIVITY	RNA HELICASE ACTIVITY	Details ...	7	0.672116	1.5023676	0.028248588	1.0	0.989	89	tags=29%, list=2%, signal=29%	
ISOLEUCINE TRANSMEMBRANE TRANSPORT	ISOLEUCINE TRANSMEMBRANE TRANSPORT	Details ...	5	0.8615674	1.4875107	0.008230452	1.0	0.99	483	tags=80%, list=12%, signal=90%	
PROTEIN SECRETION BY THE TYPE II SECRETION SYSTEM	PROTEIN SECRETION BY THE TYPE II SECRETION SYSTEM	Details ...	12	0.7769211	1.4740444	0.015968064	1.0	0.995	438	tags=67%, list=11%, signal=74%	
L-VALINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-VALINE TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	7	0.727482	1.4709318	0.036363635	1.0	0.995	483	tags=57%, list=12%, signal=65%	
GALACTOSE TRANSMEMBRANE TRANSPORT	GALACTOSE TRANSMEMBRANE TRANSPORT	Details ...	7	0.77233446	1.466946	0.040983606	1.0	0.995	204	tags=43%, list=5%, signal=45%	
CELLULAR RESPONSE TO ACIDIC PH	CELLULAR RESPONSE TO ACIDIC PH	Details ...	9	0.6664205	1.4660358	0.05742574	1.0	0.995	619	tags=67%, list=15%, signal=78%	
REGULATION OF SINGLE-SPECIES BIOFILM FORMATION	REGULATION OF SINGLE-SPECIES BIOFILM FORMATION	Details ...	5	0.7168815	1.4622384	0.037815128	1.0	0.995	431	tags=60%, list=10%, signal=67%	
RESPONSE TO METHYLGLYOXAL	RESPONSE TO METHYLGLYOXAL	Details ...	5	0.6961339	1.4617834	0.05252101	1.0	0.995	309	tags=60%, list=7%, signal=65%	
CYTOLYSIS	CYTOLYSIS	Details ...	7	0.6738157	1.4565552	0.096525095	1.0	0.995	302	tags=43%, list=7%, signal=46%	
FIMBRIAL USHER PORIN ACTIVITY	FIMBRIAL USHER PORIN ACTIVITY	Details ...	10	0.8285954	1.4499317	0.002079002	1.0	0.996	600	tags=90%, list=14%, signal=105%	
TYPE II PROTEIN SECRETION SYSTEM COMPLEX	TYPE II PROTEIN SECRETION SYSTEM COMPLEX	Details ...	10	0.78631335	1.4497325	0.029126214	1.0	0.996	438	tags=70%, list=11%, signal=78%	
SYMPORTER ACTIVITY	SYMPORTER ACTIVITY	Details ...	42	0.56831765	1.445675	0.043564357	1.0	0.997	1014	tags=64%, list=24%, signal=84%	
RECOMBINASE ACTIVITY	RECOMBINASE ACTIVITY	Details ...	5	0.8700579	1.4429508	0.006122449	1.0	0.997	543	tags=100%, list=13%, signal=115%	
CYCLIC-DI-GMP BINDING	CYCLIC-DI-GMP BINDING	Details ...	5	0.73612547	1.4291363	0.043824703	1.0	0.999	747	tags=60%, list=18%, signal=73%	
SODIUM ION TRANSPORT	SODIUM ION TRANSPORT	Details ...	20	0.61242294	1.4059687	0.073267326	1.0	1.0	1070	tags=60%, list=26%, signal=80%	
PROPIONATE CATABOLIC PROCESS, 2-METHYLCITRATE CYCLE	PROPIONATE CATABOLIC PROCESS, 2-METHYLCITRATE CYCLE	Details ...	5	0.7931	1.401324	0.03	1.0	1.0	853	tags=80%, list=21%, signal=101%	
TRANSPORTER ACTIVITY	TRANSPORTER ACTIVITY	Details ...	65	0.4536994	1.3969289	0.06936416	1.0	1.0	1073	tags=42%, list=26%, signal=55%	
HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS	HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS		26	0.4303712	1.3898376	0.08560311	1.0	1.0	695	tags=46%, list=17%, signal=55%	
PILUS ORGANIZATION	PILUS ORGANIZATION		33	0.6267501	1.3868057	0.08299595	1.0	1.0	734	tags=64%, list=18%, signal=77%	
PILUS ASSEMBLY	PILUS ASSEMBLY		13	0.68252283	1.3809861	0.04842105	1.0	1.0	734	tags=77%, list=18%, signal=93%	
DNA INTEGRATION	DNA INTEGRATION		17	0.5409755	1.378596	0.14545454	1.0	1.0	820	tags=65%, list=20%, signal=80%	
RIBOSOMAL SMALL SUBUNIT ASSEMBLY	RIBOSOMAL SMALL SUBUNIT ASSEMBLY		20	0.736685	1.3773	0.18058252	1.0	1.0	549	tags=65%, list=13%, signal=75%	
ALLANTOIN ASSIMILATION PATHWAY	ALLANTOIN ASSIMILATION PATHWAY		5	0.7573157	1.3724751	0.066523604	1.0	1.0	523	tags=60%, list=13%, signal=69%	
ORGANIC PHOSPHONATE CATABOLIC PROCESS	ORGANIC PHOSPHONATE CATABOLIC PROCESS		8	0.72861546	1.3551484	0.06882591	1.0	1.0	803	tags=75%, list=19%, signal=93%	
L-ISOLEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-ISOLEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.8148751	1.3495041	0.02952756	1.0	1.0	483	tags=80%, list=12%, signal=90%	
BRANCHED-CHAIN AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	BRANCHED-CHAIN AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.8148751	1.3495041	0.02952756	1.0	1.0	483	tags=80%, list=12%, signal=90%	
PILUS	PILUS		30	0.55435896	1.3395509	0.0960334	1.0	1.0	1405	tags=80%, list=34%, signal=120%	
COA-TRANSFERASE ACTIVITY	COA-TRANSFERASE ACTIVITY		5	0.7545278	1.3333943	0.09657948	1.0	1.0	949	tags=80%, list=23%, signal=104%	
TRANSMEMBRANE TRANSPORTER ACTIVITY	TRANSMEMBRANE TRANSPORTER ACTIVITY		159	0.42609948	1.3324059	0.0872093	1.0	1.0	1479	tags=57%, list=36%, signal=85%	
CELL ADHESION INVOLVED IN SINGLE-SPECIES BIOFILM FORMATION	CELL ADHESION INVOLVED IN SINGLE-SPECIES BIOFILM FORMATION		25	0.5927859	1.3251331	0.13598326	1.0	1.0	1405	tags=88%, list=34%, signal=132%	
FATTY ACID BETA-OXIDATION	FATTY ACID BETA-OXIDATION		15	0.6230132	1.3243691	0.13655463	1.0	1.0	1317	tags=80%, list=32%, signal=117%	
RESPONSE TO COLD	RESPONSE TO COLD		13	0.6370736	1.3233309	0.14913958	1.0	1.0	824	tags=69%, list=20%, signal=86%	
ORGANIC SUBSTANCE TRANSPORT	ORGANIC SUBSTANCE TRANSPORT		11	0.67923975	1.3225348	0.089770354	1.0	1.0	771	tags=64%, list=19%, signal=78%	
L-LEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-LEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY		6	0.77322704	1.3212664	0.054263566	1.0	1.0	696	tags=83%, list=17%, signal=100%	
SODIUM ION TRANSMEMBRANE TRANSPORT	SODIUM ION TRANSMEMBRANE TRANSPORT		6	0.74241996	1.3211354	0.044624746	1.0	1.0	1070	tags=83%, list=26%, signal=112%	
