NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
IRON-SULFUR CLUSTER BINDING	IRON-SULFUR CLUSTER BINDING	Details ...	141	-0.46732116	-1.7200762	0.008048289	1.0	0.626	568	tags=33%, list=14%, signal=37%	
4 IRON, 4 SULFUR CLUSTER BINDING	4 IRON, 4 SULFUR CLUSTER BINDING	Details ...	112	-0.4785134	-1.6924363	0.010162601	1.0	0.729	568	tags=34%, list=14%, signal=38%	
AMINO ACID TRANSMEMBRANE TRANSPORT	AMINO ACID TRANSMEMBRANE TRANSPORT	Details ...	22	-0.5704097	-1.6879486	0.004672897	0.8122863	0.74	827	tags=55%, list=20%, signal=68%	
CELLULAR RESPIRATION	CELLULAR RESPIRATION	Details ...	11	-0.7620803	-1.6831563	0.013015185	0.6474678	0.761	589	tags=64%, list=14%, signal=74%	
ANAEROBIC RESPIRATION	ANAEROBIC RESPIRATION	Details ...	56	-0.6305139	-1.6545905	0.016096579	0.7273025	0.858	865	tags=57%, list=21%, signal=71%	
QUINONE BINDING	QUINONE BINDING	Details ...	20	-0.7254359	-1.6305295	0.040229887	0.79028946	0.908	726	tags=60%, list=17%, signal=72%	
MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	Details ...	14	-0.6983983	-1.6242678	0.028790787	0.7261309	0.918	974	tags=79%, list=23%, signal=102%	
MOLYBDENUM ION BINDING	MOLYBDENUM ION BINDING	Details ...	16	-0.6353752	-1.6171803	0.011857707	0.68683195	0.928	546	tags=44%, list=13%, signal=50%	
OXIDOREDUCTASE ACTIVITY, ACTING ON NAD(P)H	OXIDOREDUCTASE ACTIVITY, ACTING ON NAD(P)H	Details ...	11	-0.75885415	-1.6171026	0.042201836	0.61119825	0.928	438	tags=55%, list=11%, signal=61%	
FORMATE OXIDATION	FORMATE OXIDATION	Details ...	8	-0.75040764	-1.6030276	0.011013215	0.6414782	0.942	589	tags=63%, list=14%, signal=73%	
NADH DEHYDROGENASE (UBIQUINONE) ACTIVITY	NADH DEHYDROGENASE (UBIQUINONE) ACTIVITY	Details ...	17	-0.6576417	-1.5859417	0.059793815	0.7031219	0.967	726	tags=53%, list=17%, signal=64%	
AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	15	-0.63158613	-1.5653278	0.047722343	0.78633857	0.988	549	tags=47%, list=13%, signal=54%	
SUCCINATE TRANSMEMBRANE TRANSPORT	SUCCINATE TRANSMEMBRANE TRANSPORT	Details ...	6	-0.8122294	-1.5540712	0.024017468	0.8098249	0.993	738	tags=83%, list=18%, signal=101%	
FUMARATE TRANSPORT	FUMARATE TRANSPORT	Details ...	5	-0.8210543	-1.5528977	0.025210084	0.7616175	0.993	183	tags=60%, list=4%, signal=63%	
FORMATE DEHYDROGENASE (NAD+) ACTIVITY	FORMATE DEHYDROGENASE (NAD+) ACTIVITY	Details ...	6	-0.6657094	-1.5399119	0.013100437	0.8063654	0.994	589	tags=50%, list=14%, signal=58%	
NADP BINDING	NADP BINDING	Details ...	30	-0.47739214	-1.5227953	0.0704501	0.8904533	0.998	1163	tags=53%, list=28%, signal=74%	
FERMENTATION	FERMENTATION	Details ...	8	-0.90024096	-1.5124271	0.018518519	0.9191465	0.999	35	tags=50%, list=1%, signal=50%	
ANAEROBIC ELECTRON TRANSPORT CHAIN	ANAEROBIC ELECTRON TRANSPORT CHAIN	Details ...	14	-0.72781044	-1.5104162	0.04109589	0.882445	0.999	51	tags=36%, list=1%, signal=36%	
RESPONSE TO IONIZING RADIATION	RESPONSE TO IONIZING RADIATION	Details ...	10	-0.5058632	-1.5036714	0.057522126	0.8906415	0.999	340	tags=40%, list=8%, signal=43%	
POTASSIUM ION BINDING	POTASSIUM ION BINDING	Details ...	12	-0.6124378	-1.4987416	0.08074534	0.884659	0.999	721	tags=50%, list=17%, signal=60%	
VIRAL ENTRY INTO HOST CELL	VIRAL ENTRY INTO HOST CELL		11	-0.55751055	-1.4974065	0.06345733	0.85227674	0.999	42	tags=27%, list=1%, signal=27%	
ORGANIC SUBSTANCE TRANSPORT	ORGANIC SUBSTANCE TRANSPORT		11	-0.63832337	-1.4801977	0.076767676	0.9439848	0.999	409	tags=36%, list=10%, signal=40%	
PLASMA MEMBRANE RESPIRATORY CHAIN COMPLEX I	PLASMA MEMBRANE RESPIRATORY CHAIN COMPLEX I		16	-0.72496456	-1.47375	0.108571425	0.953646	1.0	438	tags=63%, list=11%, signal=70%	
PROTEIN DIMERIZATION ACTIVITY	PROTEIN DIMERIZATION ACTIVITY		14	-0.47465676	-1.4732378	0.07645875	0.9181815	1.0	1254	tags=50%, list=30%, signal=71%	
FORMATE DEHYDROGENASE COMPLEX	FORMATE DEHYDROGENASE COMPLEX		7	-0.72390246	-1.4639696	0.051502146	0.95235234	1.0	589	tags=57%, list=14%, signal=66%	
FORMATE DEHYDROGENASE (QUINONE) ACTIVITY	FORMATE DEHYDROGENASE (QUINONE) ACTIVITY		7	-0.72390246	-1.4639696	0.051502146	0.9157234	1.0	589	tags=57%, list=14%, signal=66%	
ATP BIOSYNTHETIC PROCESS	ATP BIOSYNTHETIC PROCESS		9	-0.8638996	-1.4614869	0.034907598	0.8996776	1.0	574	tags=100%, list=14%, signal=116%	
NADH DEHYDROGENASE COMPLEX	NADH DEHYDROGENASE COMPLEX		14	-0.7647215	-1.4539635	0.116054155	0.9196091	1.0	678	tags=79%, list=16%, signal=94%	
PROTON-TRANSPORTING ATP SYNTHASE COMPLEX, CATALYTIC CORE F(1)	PROTON-TRANSPORTING ATP SYNTHASE COMPLEX, CATALYTIC CORE F(1)		6	-0.8989631	-1.4410442	0.044	0.9813334	1.0	426	tags=100%, list=10%, signal=111%	
HYDRO-LYASE ACTIVITY	HYDRO-LYASE ACTIVITY		12	-0.57453626	-1.4364797	0.10677618	0.9818964	1.0	1170	tags=83%, list=28%, signal=116%	
THREONINE TRANSPORT	THREONINE TRANSPORT		6	-0.7309428	-1.4319583	0.06616257	0.98504895	1.0	428	tags=50%, list=10%, signal=56%	
SUCCINATE DEHYDROGENASE ACTIVITY	SUCCINATE DEHYDROGENASE ACTIVITY		7	-0.8810422	-1.4277756	0.012096774	0.98510754	1.0	35	tags=57%, list=1%, signal=58%	
PORE COMPLEX	PORE COMPLEX		16	-0.5978703	-1.4169556	0.11344538	1.0	1.0	572	tags=50%, list=14%, signal=58%	
ELECTRON TRANSFER ACTIVITY	ELECTRON TRANSFER ACTIVITY		85	-0.4417636	-1.4162952	0.091816366	1.0	1.0	589	tags=28%, list=14%, signal=32%	
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY	PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY		11	-0.65498453	-1.4139402	0.13219616	1.0	1.0	574	tags=73%, list=14%, signal=84%	
PORIN ACTIVITY	PORIN ACTIVITY		17	-0.5845602	-1.4136828	0.11875	0.9759028	1.0	572	tags=47%, list=14%, signal=54%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT		8	-0.6858651	-1.3891332	0.12633833	1.0	1.0	678	tags=63%, list=16%, signal=75%	
ZINC ION TRANSMEMBRANE TRANSPORT	ZINC ION TRANSMEMBRANE TRANSPORT		6	-0.56954515	-1.385995	0.10040161	1.0	1.0	1085	tags=67%, list=26%, signal=90%	
SODIUM ION TRANSPORT	SODIUM ION TRANSPORT		20	-0.47108382	-1.3855994	0.1090535	1.0	1.0	409	tags=35%, list=10%, signal=39%	
MOLYBDOPTERIN COFACTOR BINDING	MOLYBDOPTERIN COFACTOR BINDING		16	-0.57569593	-1.3852913	0.13662238	1.0	1.0	546	tags=44%, list=13%, signal=50%	
NUCLEOSIDE TRANSPORT	NUCLEOSIDE TRANSPORT		5	-0.74209064	-1.3841393	0.12096774	1.0	1.0	321	tags=40%, list=8%, signal=43%	
ATP SYNTHESIS COUPLED PROTON TRANSPORT	ATP SYNTHESIS COUPLED PROTON TRANSPORT		8	-0.8636912	-1.3797786	0.07322176	1.0	1.0	574	tags=100%, list=14%, signal=116%	
PROTON-TRANSPORTING ATP SYNTHASE ACTIVITY, ROTATIONAL MECHANISM	PROTON-TRANSPORTING ATP SYNTHASE ACTIVITY, ROTATIONAL MECHANISM		8	-0.8636912	-1.3797786	0.07322176	1.0	1.0	574	tags=100%, list=14%, signal=116%	
UBIQUINONE BINDING	UBIQUINONE BINDING		6	-0.67240447	-1.3783238	0.1300813	1.0	1.0	678	tags=50%, list=16%, signal=60%	
D-GALACTURONATE CATABOLIC PROCESS	D-GALACTURONATE CATABOLIC PROCESS		6	-0.75693274	-1.3768569	0.09001957	1.0	1.0	1015	tags=100%, list=24%, signal=132%	
HYDROGENASE (ACCEPTOR) ACTIVITY	HYDROGENASE (ACCEPTOR) ACTIVITY		7	-0.77883023	-1.376725	0.1497006	0.9906491	1.0	347	tags=57%, list=8%, signal=62%	
DIMETHYL SULFOXIDE REDUCTASE ACTIVITY	DIMETHYL SULFOXIDE REDUCTASE ACTIVITY		6	-0.84401035	-1.3715589	0.11324376	1.0	1.0	67	tags=67%, list=2%, signal=68%	
RESPONSE TO ACIDIC PH	RESPONSE TO ACIDIC PH		12	-0.47531268	-1.3709944	0.12323232	0.98671424	1.0	447	tags=25%, list=11%, signal=28%	
PURINE RIBONUCLEOSIDE SALVAGE	PURINE RIBONUCLEOSIDE SALVAGE		7	-0.6178468	-1.3680665	0.1	0.98515296	1.0	728	tags=57%, list=18%, signal=69%	
NUCLEOSIDE TRANSMEMBRANE TRANSPORTER ACTIVITY	NUCLEOSIDE TRANSMEMBRANE TRANSPORTER ACTIVITY		7	-0.67447007	-1.3660228	0.16049382	0.97774243	1.0	321	tags=43%, list=8%, signal=46%	
NUCLEOSIDE TRANSMEMBRANE TRANSPORT	NUCLEOSIDE TRANSMEMBRANE TRANSPORT		7	-0.67447	-1.3660227	0.16049382	0.958571	1.0	321	tags=43%, list=8%, signal=46%	
6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS	6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS		5	-0.8002472	-1.3659648	0.0608365	0.940514	1.0	742	tags=60%, list=18%, signal=73%	
HEME BINDING	HEME BINDING		36	-0.4506011	-1.3611468	0.10381356	0.950632	1.0	855	tags=44%, list=21%, signal=55%	
D-GLUCURONATE CATABOLIC PROCESS	D-GLUCURONATE CATABOLIC PROCESS		6	-0.75693274	-1.3592929	0.076171875	0.9442126	1.0	1015	tags=100%, list=24%, signal=132%	
AMINOACYL-TRNA EDITING ACTIVITY	AMINOACYL-TRNA EDITING ACTIVITY		9	-0.63455904	-1.3577269	0.11354582	0.9361827	1.0	1325	tags=78%, list=32%, signal=114%	
AMINOACYL-TRNA METABOLISM INVOLVED IN TRANSLATIONAL FIDELITY	AMINOACYL-TRNA METABOLISM INVOLVED IN TRANSLATIONAL FIDELITY		9	-0.63455904	-1.3577269	0.11354582	0.9194651	1.0	1325	tags=78%, list=32%, signal=114%	
URACIL CATABOLIC PROCESS	URACIL CATABOLIC PROCESS		10	-0.5576178	-1.3561888	0.13157895	0.9122795	1.0	982	tags=50%, list=24%, signal=65%	
