NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
STRUCTURAL MOLECULE ACTIVITY	STRUCTURAL MOLECULE ACTIVITY	Details ...	13	0.80575055	1.9892843	0.0	0.05693448	0.037	493	tags=54%, list=12%, signal=61%	
BIOTIN BIOSYNTHETIC PROCESS	BIOTIN BIOSYNTHETIC PROCESS	Details ...	10	0.8316226	1.8403845	0.0	0.14183956	0.242	51	tags=50%, list=1%, signal=50%	
PEPTIDOGLYCAN-PROTEIN CROSS-LINKING	PEPTIDOGLYCAN-PROTEIN CROSS-LINKING	Details ...	5	0.8225827	1.7670631	0.0	0.18810031	0.42	294	tags=40%, list=7%, signal=43%	
GLYCINE BETAINE TRANSPORT	GLYCINE BETAINE TRANSPORT	Details ...	11	0.8976034	1.6972139	0.0	0.36005613	0.652	175	tags=73%, list=4%, signal=76%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	33	0.8545781	1.6912948	0.0	0.31067604	0.678	304	tags=70%, list=7%, signal=75%	
RESPONSE TO OSMOTIC STRESS	RESPONSE TO OSMOTIC STRESS	Details ...	18	0.6093878	1.6758965	0.021442495	0.3035028	0.735	466	tags=39%, list=11%, signal=44%	
MALTOSE TRANSPORT	MALTOSE TRANSPORT	Details ...	8	0.9756448	1.6741301	0.0	0.2680365	0.735	6	tags=63%, list=0%, signal=62%	
PEPTIDOGLYCAN L,D-TRANSPEPTIDASE ACTIVITY	PEPTIDOGLYCAN L,D-TRANSPEPTIDASE ACTIVITY	Details ...	6	0.7095008	1.6587102	0.0	0.28520468	0.795	294	tags=33%, list=7%, signal=36%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	Details ...	13	0.8201751	1.6523366	0.06704981	0.27485424	0.807	230	tags=54%, list=6%, signal=57%	
HYPEROSMOTIC RESPONSE	HYPEROSMOTIC RESPONSE	Details ...	8	0.92335004	1.6407189	0.0	0.28585935	0.858	153	tags=75%, list=4%, signal=78%	
CHEMOTAXIS	CHEMOTAXIS	Details ...	24	0.7767599	1.6402918	0.0	0.2617778	0.858	516	tags=58%, list=12%, signal=66%	
ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	12	0.90094125	1.6382902	0.0	0.24331057	0.858	168	tags=75%, list=4%, signal=78%	
BAM PROTEIN COMPLEX	BAM PROTEIN COMPLEX	Details ...	5	0.7340616	1.5648853	0.027722772	0.52508116	0.966	1021	tags=60%, list=25%, signal=79%	
BACTERIAL-TYPE FLAGELLUM BASAL BODY	BACTERIAL-TYPE FLAGELLUM BASAL BODY	Details ...	18	0.9043674	1.5250303	0.0	0.71164095	0.994	342	tags=94%, list=8%, signal=102%	
FERRIC IRON BINDING	FERRIC IRON BINDING	Details ...	6	0.63035023	1.5180777	0.021141648	0.70705056	0.994	144	tags=33%, list=3%, signal=34%	
MOTOR ACTIVITY	MOTOR ACTIVITY	Details ...	8	0.9696019	1.5133425	0.0	0.68965447	0.994	133	tags=100%, list=3%, signal=103%	
BACTERIAL-TYPE FLAGELLUM ASSEMBLY	BACTERIAL-TYPE FLAGELLUM ASSEMBLY	Details ...	17	0.79955417	1.5130497	0.025423728	0.65190595	0.994	342	tags=59%, list=8%, signal=64%	
POLYSACCHARIDE TRANSPORT	POLYSACCHARIDE TRANSPORT	Details ...	6	0.72667396	1.510173	0.051612902	0.63240343	0.994	0	tags=17%, list=0%, signal=17%	
CARBOHYDRATE TRANSMEMBRANE TRANSPORTER ACTIVITY	CARBOHYDRATE TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	6	0.7831449	1.502503	0.05364807	0.64015114	0.994	2	tags=33%, list=0%, signal=33%	
CHOLINE TRANSPORT	CHOLINE TRANSPORT	Details ...	5	0.9015686	1.4959099	0.04191617	0.6473284	0.994	378	tags=80%, list=9%, signal=88%	
