"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Drug 1,Drug 2,,,EC,ST,PA,E. coli BW25113,E. coli iAi1,ST LT2,ST14028,PAO1,PA14,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,,
,Amoxicillin,Oxacillin,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.548378101,-0.65122561,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Cefsulodin,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.45770367,-0.510561259,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Trimethoprim,EC,beta-lactam_folic acid biosynthesis,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.168981691,0.092046379,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Acetylsalisylic acid,EC,beta-lactam_human drug,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.226499889,0.084216996,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Fusidic acid,EC,other protein synthesis inhibitor_other protein synthesis inhibitor,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.160244394,-0.327036317,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Rifampicin,EC,RNA polymerase_other protein synthesis inhibitor,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.352005011,0.111296324,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Bacitracin,EC,other cell wall_quinolones,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.277610647,-0.087093446,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Tobramycin,EC,tetracycline_aminoglycoside,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.216083936,-0.176066074,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Clarithromycin,EC,tetracycline_macrolide,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.261431202,-0.383328609,NA,NA,NA,NA,0.001666307,0.001813026,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Cefaclor,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.689564724,-0.706100306,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Mecillinam,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.133233318,-0.122478915,NA,NA,NA,NA,0.035085636,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Cefaclor,EC,beta-lactam_other cell wall,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.251452203,-0.030023809,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Cefsulodin,EC,beta-lactam_other cell wall,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.142595497,-0.053782934,NA,NA,NA,NA,0.036620768,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,A22,EC,other cell wall_other cell wall,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.181177958,-0.087788227,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Mitomycin C,EC,other cell wall_other DNA,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.172133927,-0.106260884,NA,NA,NA,NA,0.047029134,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Meropenem,EC,beta-lactam_other cell wall,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.268038697,-0.107074697,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Clindamycin,EC,LPS_other protein synthesis inhibitor,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.303740845,-0.786486831,NA,NA,NA,NA,0.014413559,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Curcumin,EC,LPS_food additive,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.650933198,-0.624171734,NA,NA,NA,NA,0.030292903,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Triclosan,EC,LPS_other membrane,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.763858619,-0.380144414,NA,NA,NA,NA,0.034363451,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Puromycin,EC,other protein synthesis inhibitor_other protein synthesis inhibitor,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.195058429,-0.210149378,NA,NA,NA,NA,0.037076678,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Cefsulodin,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.408844983,-0.496738724,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Benzalkonium,Sulfamonomethoxine,EC,folic acid biosynthesis_other membrane,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.234051887,0.057771696,NA,NA,NA,NA,0.034363451,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Cefsulodin,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.464587715,-0.556969404,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Bleomycin,EC,beta-lactam_multiple,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.211613725,-0.143045864,NA,NA,NA,NA,0.007360115,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Mecillinam,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.286252469,-0.412621551,NA,NA,NA,NA,0.001666307,0.001813026,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Imipenem,EC,beta-lactam_beta-lactam,weak_conserved,NA,specific,Synergy,NA,NA,NA,Antagonism,Synergy,-0.255731292,-0.071384305,NA,NA,0.370081863,-0.160994606,0.005217578,NA,NA,NA,0.001849815,0.043446742,no_conflict,ECSTPA
,Clindamycin,Trimethoprim,EC,folic acid biosynthesis_other protein synthesis inhibitor,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.150788294,-0.092744549,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Spiramycin,Nisin,EC,PMF_macrolide,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.11065906,-0.043044653,NA,NA,NA,NA,0.049613436,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Spiramycin,Colistin,EC,LPS_macrolide,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.705121244,-0.522820929,NA,NA,NA,NA,0.001666307,0.043361123,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,EGCG,EC,fatty acid biosynthesis_macrolide,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.116614889,0.042681431,NA,NA,NA,NA,0.020738933,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Verapamil,EC,folic acid biosynthesis_human drug,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.186578918,-0.058721778,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Mecillinam,EC,beta-lactam_folic acid biosynthesis,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.228821859,0.091123237,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Imipenem,EC,beta-lactam_folic acid biosynthesis,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.209926531,-0.066841182,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Sulfamonomethoxine,Rifampicin,EC,RNA polymerase_folic acid biosynthesis,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.166935419,-0.11132964,NA,NA,NA,NA,0.005217578,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Procaine,Puromycin,EC,other protein synthesis inhibitor_human drug,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.629307429,-0.576000577,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Procaine,Bleomycin,EC,multiple_human drug,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.429031983,-0.444387527,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Verapamil,A22,EC,other cell wall_human drug,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.104701119,0.025928811,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Verapamil,Loperamide,EC,human drug_human drug,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.127586969,-0.074569487,NA,NA,NA,NA,0.007360115,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Nitrofurantoin,Bleomycin,EC,multiple_multiple,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.193553566,-0.31899795,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,A22,EC,beta-lactam_other cell wall,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.175348504,-0.087425732,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Bleomycin,EC,beta-lactam_multiple,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.168364161,-0.138395538,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,A22,Bleomycin,EC,other cell wall_multiple,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.188424513,-0.223264015,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Loperamide,Minocycline,EC,tetracycline_human drug,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.147682106,-0.090796039,NA,NA,NA,NA,0.004098642,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Loperamide,Ciclopirox,EC,human drug_human drug,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.233621622,0.034914547,NA,NA,NA,NA,0.027833079,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Minocycline,EGCG,EC,fatty acid biosynthesis_tetracycline,not_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.117660554,-0.049378181,NA,NA,NA,NA,0.037881789,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Tobramycin,Puromycin,EC,other protein synthesis inhibitor_aminoglycoside,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.291722887,-0.193851284,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,EGCG,Ciclopirox,EC,fatty acid biosynthesis_human drug,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.298646509,-0.312359321,NA,NA,NA,NA,0.047612356,0.006963072,NA,NA,NA,NA,no_conflict,ECSTPA
,Rifampicin,Curcumin,EC,RNA polymerase_food additive,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.182215906,-0.085728422,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Penicillin G,EC,beta-lactam_beta-lactam,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.241961917,-0.249976928,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Amikacin,EC,quinolones_aminoglycoside,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.205952554,-0.116871131,NA,NA,NA,NA,0.003515502,0.024022598,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Levofloxacin,EC,beta-lactam_quinolones,conserved,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.203314341,-0.189007164,NA,NA,NA,NA,0.03926274,0.025019762,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Meropenem,EC,beta-lactam_folic acid biosynthesis,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.331258375,-0.095179138,NA,NA,NA,NA,0.025469742,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Verapamil,Aztreonam,EC,beta-lactam_human drug,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.163104708,-0.094919036,NA,NA,NA,NA,0.033097801,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Nisin,EC,beta-lactam_PMF,not_comparable,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.110322687,-0.018389862,NA,NA,NA,NA,0.046464761,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Doxorubicin,EC,beta-lactam_other DNA,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.113195742,-0.086195584,NA,NA,NA,NA,0.01832232,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Doxorubicin,EC,beta-lactam_other DNA,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.127969488,-0.13192182,NA,NA,NA,NA,0.046464761,NA,NA,NA,NA,NA,no_conflict,ECSTPA
